index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490,垂直,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,石景山,4QAM PN595 4/5(0.8),xxj737 2023-06-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,490,垂直,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,石景山,4QAM PN595 4/5(0.8),xxj737 2023-06-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,490,垂直,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,石景山,4QAM PN595 4/5(0.8),xxj737 2023-06-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,490,垂直,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,石景山,4QAM PN595 4/5(0.8),xxj737 2023-06-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,554, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,change change 2022-04-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,554, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,change change 2022-04-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,554, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区, ,change change 2022-04-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,554, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区, ,change change 2022-04-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,554, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区, ,change change 2022-04-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,554, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区, ,change change 2022-04-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,554, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区, ,change change 2022-04-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,554, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区, ,change change 2022-04-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,554, ,101,中国之声, ,MPEG-1,开锁, ,730,市区, ,change change 2022-04-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,554, ,102,经济之声, ,MPEG-1,开锁, ,740,市区, ,change change 2022-04-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,554, ,103,音乐之声, ,MPEG-1,开锁, ,750,市区, ,change change 2022-04-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,554, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区, ,change change 2022-04-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,554, ,105,台海之声, ,MPEG-1,开锁, ,770,市区, ,change change 2022-04-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
