index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,514, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,514, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,514, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,514, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,514, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,514, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,514, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,514, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,514, ,101,中国之声, ,MPEG-1,开锁, ,730,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,514, ,102,经济之声, ,MPEG-1,开锁, ,740,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,514, ,103,音乐之声, ,MPEG-1,开锁, ,750,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,514, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,514, ,105,台海之声, ,MPEG-1,开锁, ,770,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,514, ,106,神州之声, ,MPEG-1,开锁, ,780,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,514, ,108,民族之声, ,MPEG-1,开锁, ,790,王益区人民公园发射台, ,亚洲波束2022-07-29,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
