index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187,水平,1,饶平台,MPEG-2,DRA,开锁,5009,5010,饶平,64QAM PN420 3/5(0.6),HLGC阿强 2022-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,187,水平,2,广东珠江,MPEG-2,DRA,开锁,5003,5004,饶平,64QAM PN420 3/5(0.6),HLGC阿强 2022-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,187,水平,3,潮州综合,MPEG-2,DRA,开锁,51,5006,饶平,64QAM PN420 3/5(0.6),HLGC阿强 2022-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,187,水平,4,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5007,5008,饶平,64QAM PN420 3/5(0.6),HLGC阿强 2022-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,187,水平,5,广东体育,MPEG-2,DRA,开锁,5001,5002,饶平,64QAM PN420 3/5(0.6),HLGC阿强 2022-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,514, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,514, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,514, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,514, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,514, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,514, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,514, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,514, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,514, ,101,中国之声, ,MPEG-1,开锁, ,730,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,514, ,102,经济之声, ,MPEG-1,开锁, ,740,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,514, ,103,音乐之声, ,MPEG-1,开锁, ,750,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,514, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,514, ,105,台海之声, ,MPEG-1,开锁, ,770,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,514, ,106,神州之声, ,MPEG-1,开锁, ,780,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,514, ,108,民族之声, ,MPEG-1,开锁, ,790,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,514, ,109,文艺之声, ,MPEG-1,开锁, ,800,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,514, ,110,老年之声, ,MPEG-1,开锁, ,810,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,514, ,112,阅读之声, ,MPEG-1,开锁, ,820,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,514, ,115,中国交通广播, ,MPEG-1,开锁, ,830,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,514, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,饶平, ,GLGC阿强 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,514, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,潮安, ,韩江 2022-07-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,514, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,潮安, ,韩江 2022-07-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,514, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,潮安, ,韩江 2022-07-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,514, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,潮安, ,韩江 2022-07-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
